DataSet,ed,msm,TSFresh,Summary,Catch22,QUANT,UFS-IE
ACSF1,0.31,0.38,0.242,0.423,0.497,0.475,0.473
Adiac,0.4041,0.4246,0.1647,0.5396,0.3159,0.5414,0.477
ArrowHead,0.5486,0.5429,0.3657,0.5851,0.5474,0.4851,0.56
Beef,0.4,0.4,0.4,0.39,0.46,0.3767,0.3667
BeetleFly,0.5,0.55,0.6,0.9,0.65,0.74,0.67
BirdChicken,0.5,0.55,0.55,0.705,0.55,0.635,0.55
BME,0.4667,0.52,0.36,0.494,0.4687,0.6867,0.4733
Car,0.5667,0.6,0.3533,0.5083,0.3833,0.55,0.5933
CBF,0.6422,0.6256,0.3474,0.5633,0.4678,0.6114,0.5888
Chinatown,0.5948,0.6006,0.5685,0.742,0.7726,0.7758,0.9767
ChlorineC,0.3836,0.3966,0.3594,0.3703,0.3529,0.364,0.3747
CinCECGT,0.4058,0.4522,0.2681,0.3352,0.4201,0.5688,0.5157
Coffee,0.9643,0.8929,0.5357,0.6786,0.5714,0.75,0.9786
Computers,0.564,0.644,0.524,0.624,0.612,0.608,0.6644
CricketX,0.2462,0.2692,0.1564,0.3144,0.2856,0.3603,0.3344
CricketY,0.2949,0.2821,0.1551,0.2692,0.2826,0.2836,0.3282
CricketZ,0.2641,0.2564,0.1456,0.299,0.2872,0.3536,0.3215
Crop,0.3804,0.3703,0.0656,0.2616,0.2788,0.3708,0.3452
DiatomSR,0.9575,0.9444,0.3167,0.8235,0.6961,0.7784,0.8761
DistalPOC,0.6196,0.6123,0.5438,0.5761,0.6051,0.6159,0.5942
DistalPOA,0.6115,0.6331,0.4576,0.5899,0.4317,0.5928,0.6101
DistalPTW,0.4964,0.5252,0.2734,0.4317,0.4007,0.4978,0.454
Earthquakes,0.5612,0.7122,0.6115,0.6043,0.5532,0.5446,0.6906
ECG200,0.73,0.72,0.59,0.68,0.62,0.7,0.74
ECG5000,0.5831,0.7231,0.5047,0.5943,0.498,0.5964,0.4531
ECGFiveDays,0.5087,0.8165,0.5029,0.7131,0.5575,0.5552,0.5134
ElectricD,0.3881,0.3371,0.2617,0.4131,0.3912,0.4995,0.4404
EOGHS,0.3564,0.2983,0.1525,0.3431,0.3459,0.2881,0.3834
EOGVS,0.337,0.3122,0.1445,0.3751,0.3312,0.284,0.3696
EthanolLevel,0.288,0.274,0.278,0.2816,0.278,0.278,0.286
FaceAll,0.3615,0.5805,0.1516,0.4285,0.3215,0.4675,0.5067
FaceFour,0.625,0.5795,0.3205,0.3523,0.5795,0.4602,0.6716
FacesUCR,0.3551,0.5068,0.1273,0.2984,0.3032,0.4186,0.3975
FiftyWords,0.3956,0.5165,0.1747,0.2213,0.2369,0.2831,0.4136
Fish,0.4514,0.6629,0.2251,0.4874,0.5206,0.3897,0.4554
FordA,0.5076,0.5159,0.5167,0.5258,0.553,0.5114,0.5023
FordB,0.5025,0.5074,0.5099,0.537,0.5506,0.5222,0.5225
FreezerRT,0.7649,0.7667,0.5211,0.6979,0.7389,0.7281,0.7021
FreezerST,0.7639,0.766,0.5211,0.6979,0.7389,0.733,0.7032
GunPoint,0.52,0.5333,0.512,0.5133,0.5267,0.52,0.52
GunPAS,0.7563,0.8386,0.5222,0.6234,0.6076,0.5127,0.5098
GunPMVF,0.5285,0.6108,0.5158,0.8892,0.9019,0.962,0.6373
GunPOVY,0.7333,0.7333,0.5175,0.5683,0.5746,0.5238,0.7397
Ham,0.6095,0.5905,0.5429,0.6019,0.5619,0.5143,0.6286
HandO,0.7243,0.6432,0.5405,0.6297,0.6378,0.6676,0.7216
Haptics,0.3409,0.3864,0.2435,0.3175,0.3266,0.2951,0.3435
Herring,0.5156,0.5625,0.5313,0.625,0.5625,0.5938,0.5938
HouseT,0.6303,0.7143,0.521,0.5798,0.6639,0.8126,0.7437
InlineSkate,0.2109,0.2418,0.1893,0.2918,0.2293,0.2555,0.2229
InsectEPGRT,0.6104,0.5984,0.4337,0.5815,0.4446,0.6281,0.6165
InsectEPGST,0.5743,0.5823,0.4217,0.5542,0.4675,0.5944,0.5643
InsectWS,0.4657,0.4727,0.1615,0.1601,0.4043,0.2448,0.4402
ItalyPD,0.5209,0.5141,0.5063,0.5403,0.5063,0.5316,0.5493
LargeKA,0.3893,0.4213,0.3773,0.472,0.44,0.6549,0.4923
Lightning2,0.5902,0.5246,0.5738,0.6557,0.5246,0.6885,0.6557
Lightning7,0.4247,0.5616,0.3233,0.4123,0.3726,0.4589,0.5205
Mallat,0.6955,0.835,0.1701,0.5132,0.4461,0.5963,0.8375
Meat,0.6333,0.8667,0.4,0.7167,0.4667,0.6833,0.9167
MedicalI,0.2961,0.3513,0.2018,0.2754,0.2699,0.2996,0.3287
MiddlePOC,0.6117,0.6014,0.566,0.5979,0.5636,0.5842,0.5979
MiddlePOA,0.4805,0.513,0.4903,0.5208,0.539,0.539,0.4701
MiddlePTW,0.4286,0.4416,0.324,0.4208,0.487,0.4279,0.4305
MixedSRT,0.6495,0.6495,0.2416,0.4688,0.5591,0.4309,0.6733
MixedSST,0.6392,0.6647,0.2412,0.456,0.5073,0.4211,0.6634
MoteStrain,0.8506,0.8538,0.5032,0.5767,0.5367,0.513,0.7875
NonIFECGT1,0.459,0.5399,0.0899,0.4159,0.2765,0.3732,0.5895
NonIFECGT2,0.5547,0.6051,0.1032,0.4516,0.3461,0.3773,0.6354
OliveOil,0.8333,0.8667,0.4667,0.4133,0.3667,0.7333,0.7467
OSULeaf,0.3512,0.3926,0.2397,0.3756,0.4822,0.4835,0.3769
PhalangesOC,0.6282,0.6259,0.566,0.6119,0.6259,0.6177,0.6212
Phoneme,0.105,0.1624,0.1091,0.1242,0.1473,0.1536,0.1703
PigAirwayP,0.1971,0.1731,0.2563,0.3269,0.3043,0.3471,0.2822
PigArtP,0.3173,0.0192,0.224,0.5082,0.5923,0.4087,0.3298
PigCVP,0.1827,0.1298,0.2793,0.3442,0.388,0.3952,0.2188
Plane,0.8286,0.8571,0.2486,0.8352,0.8381,0.9543,0.879
PowerCons,0.6556,0.8389,0.5611,0.6556,0.5111,0.7111,0.75
ProximalPOC,0.646,0.646,0.6254,0.6426,0.6254,0.6529,0.6426
ProximalPOA,0.7122,0.7317,0.522,0.6976,0.7756,0.7659,0.7073
ProximalPTW,0.522,0.5268,0.3278,0.4756,0.5244,0.5229,0.5146
RefrigerationD,0.352,0.3813,0.344,0.4987,0.3947,0.3904,0.5243
Rock,0.54,0.42,0.34,0.552,0.526,0.44,0.458
ScreenType,0.4133,0.392,0.36,0.4187,0.4243,0.3789,0.3845
SemgHGCh2,0.66,0.6317,0.6043,0.6783,0.565,0.595,0.6763
SemgHMCh2,0.3444,0.3578,0.2109,0.2867,0.2493,0.2907,0.3393
SemgHSCh2,0.4578,0.54,0.2678,0.4067,0.3707,0.4356,0.4644
ShapeletSim,0.5278,0.5667,0.5,0.5333,1,0.5122,0.5306
ShapesAll,0.405,0.3583,0.1593,0.4253,0.352,0.3882,0.536
SmallKA,0.36,0.3413,0.388,0.5733,0.4693,0.648,0.5824
SmoothS,0.64,0.5933,0.3867,0.7287,0.414,0.446,0.542
SonyAIBORS1,0.5191,0.5092,0.5574,0.7654,0.5824,0.8369,0.5093
SonyAIBORS2,0.7576,0.7692,0.5824,0.6955,0.5764,0.8583,0.7807
StarLightC,0.7589,0.7661,0.4762,0.6547,0.6469,0.6264,0.7444
Strawberry,0.5108,0.5081,0.5757,0.5081,0.527,0.5189,0.5378
SwedishLeaf,0.4272,0.5072,0.139,0.5206,0.4342,0.5122,0.5723
Symbols,0.7387,0.7879,0.3211,0.4865,0.7461,0.6893,0.7527
SyntheticC,0.56,0.6067,0.2033,0.4287,0.553,0.7133,0.6547
ToeS1,0.5132,0.5219,0.5272,0.7588,0.6009,0.5518,0.5057
ToeS2,0.5231,0.5077,0.6308,0.8077,0.6923,0.7538,0.5638
Trace,0.56,0.55,0.355,0.724,0.57,0.813,0.56
TwoLeadECG,0.5338,0.5812,0.5004,0.7355,0.5461,0.676,0.5391
TwoPatterns,0.3158,0.3593,0.26,0.2613,0.278,0.3029,0.3423
UMD,0.4583,0.4792,0.3528,0.6667,0.4708,0.5903,0.4514
UWaveGLAll,0.691,0.6678,0.1707,0.2271,0.3872,0.2802,0.7315
UWaveGLX,0.5539,0.5572,0.1987,0.2732,0.3463,0.3832,0.5782
UWaveGLY,0.4953,0.4777,0.1782,0.238,0.2864,0.3246,0.4858
UWaveGLZ,0.4623,0.5173,0.2027,0.2853,0.3905,0.3397,0.5024
Wafer,0.6299,0.6282,0.5839,0.7949,0.6079,0.6189,0.628
Wine,0.537,0.5185,0.5,0.5556,0.6111,0.5185,0.587
WordS,0.279,0.337,0.1837,0.2061,0.1834,0.213,0.321
Worms,0.4026,0.3896,0.3883,0.3818,0.4416,0.5844,0.3727
WormsTC,0.5325,0.5325,0.6169,0.5857,0.5584,0.6104,0.5442
Yoga,0.5083,0.5023,0.5013,0.5763,0.5151,0.527,0.5067
AVERAGE,0.5178,0.5416,0.3716,0.5121,0.4884,0.5277,0.5478
RANK,3.8304,3.2098,6.3348,3.8884,4.25,3.442,3.0446
WIN,37,55,12,35,36,49,-
DRAW,2,1,1,3,1,2,-
LOSE,73,56,99,74,75,61,-
